date,ticker,sector,type,leftlead,trr_open,intraweekly,intramonthly,openweekly,openmonthly,size,additional,discountfromlast,adtv,secondary,biotech,fut
2/21/17,CIVB,6,1,39,0.058851,-0.131032,0,0.523989,0,0.0350175,0.143662,-0.018059,55.36,0.00,0.00,0.000459
2/22/17,AGRO,4,4,48,-0.010509,-0.221609,-0.270286,0.562995,1.163328,0.03711,0.024694,-0.015911,4.84,1.00,0.00,-0.029103
2/22/17,APAM,6,3,17,-0.001709,-0.221609,-0.270286,0.562995,1.163328,0.164575622,0.074434,-0.037829,16.10,0.00,0.00,0.010256
2/22/17,APO,6,4,71,-0.006834,-0.221609,-0.270286,0.562995,1.163328,0.17999,0.020368,-0.011261,5.61,1.00,0.00,0.020501
2/22/17,CLD,5,2,23,0.039216,-0.221609,-0.270286,0.562995,1.163328,0.06885,0.180085,-0.102113,8.09,0.00,0.00,-0.033334
2/22/17,NGD,1,3,58,0.039286,-0.221609,-0.270286,0.562995,1.163328,0.172592,0.094481,-0.078947,5.33,0.00,0.00,0.046428
2/22/17,PKDC,5,2,5,-0.047624,-0.221609,-0.270286,0.562995,1.163328,0.0252,0.087446,-0.106383,29.90,0.00,0.00,-0.023809
2/22/17,NTB,6,1,31,0.012598,-0.221609,-0.270286,0.562995,1.163328,0.348905925,0.179282,-0.020364,59.81,1.00,0.00,-0.015748
2/22/17,GMS,8,1,5,0.034188,-0.221609,-0.270286,0.562995,1.163328,0.233780625,0.169749,-0.018127,87.78,1.00,0.00,-0.032137
2/23/17,PAGP,5,3,17,0.00871,-0.245222,-0.327232,0.181165,1.164994,1.4973,0.289103,-0.023622,37.19,0.00,0.00,0.018064
2/23/17,PFGC,4,3,48,0.006383,-0.245222,-0.327232,0.181165,1.164994,0.31725,0.130325,-0.034908,16.98,1.00,0.00,0.014894
2/23/17,PSV,8,2,48,-0.04,-0.245222,-0.327232,0.181165,1.164994,0.051625,0.659121,-0.399038,433.70,0.00,0.00,0.04
2/23/17,TRGP,5,4,48,0.014801,-0.245222,-0.327232,0.181165,1.164994,0.39888,0.037123,-0.029432,4.00,1.00,0.00,0.000181
2/23/17,WSO,8,3,31,-0.000694,-0.245222,-0.327232,0.181165,1.164994,0.60993864,0.139506,-0.053192,18.16,1.00,0.00,0.044236
2/24/17,HCRSQ,5,3,23,-0.002778,-0.099288,-0.345749,0.177943,1.011375,0.42435,0.243475,-0.124088,27.89,0.00,0.00,-0.033333
2/24/17,FNCX,2,1,2,-0.028571,-0.099288,-0.345749,0.177943,1.011375,0.004799999,0.518046,-0.186047,153.22,0.00,0.00,-0.019048
2/27/17,HPP,9,2,10,0.01,-0.045542,-0.381868,0.063517,0.891015,0.3519,0.054717,-0.017735,7.68,0.00,0.00,0.006111
2/27/17,O,9,2,10,-0.011129,-0.045542,-0.381868,0.063517,0.891015,0.7347,0.040021,-0.018366,5.94,0.00,0.00,-0.000484
2/27/17,TTD,10,1,17,0.073521,-0.045542,-0.381868,0.063517,0.891015,0.25850351,0.161813,-0.036112,37.04,1.00,0.00,0.115493
2/28/17,BBDC,6,2,48,-0.007692,0.086739,-0.300884,0.218023,0.993021,0.1365,0.146933,-0.024512,35.54,0.00,0.00,0
3/1/17,ABCB,6,2,63,0.034409,0.129168,-0.351659,0.208665,0.77876,0.09358125,0.047466,-0.037267,12.04,0.00,0.00,-0.002151
3/1/17,DERM,7,1,66,0.020475,0.129168,-0.351659,0.208665,0.77876,0.193775,0.122995,-0.018065,25.40,0.00,0.00,0.03086
3/1/17,IBKC,6,1,31,0.006024,0.129168,-0.351659,0.208665,0.77876,0.5063,0.119836,-0.009547,26.01,0.00,0.00,-0.010843
3/1/17,SFR,9,1,35,0.016923,0.129168,-0.351659,0.208665,0.77876,0.75037378,0.179945,-0.009146,17.92,0.52,0.00,0.023385
3/2/17,AMD,10,4,31,-0.010949,0.227365,-0.325992,0.221172,0.84993,0.6165,0.047834,-0.014388,0.55,1.00,0.00,-0.037956
3/2/17,BLDR,8,3,5,0.014334,0.227365,-0.325992,0.221172,0.84993,0.1465,0.08925,-0.033003,8.53,1.00,0.00,0.019796
3/2/17,ITG,6,4,48,0.022449,0.227365,-0.325992,0.221172,0.84993,0.01372,0.02106,-0.016064,4.14,1.00,0.00,-0.00051
3/2/17,KITE,7,3,37,0.002533,0.227365,-0.325992,0.221172,0.84993,0.4096875,0.086626,-0.058026,3.19,0.00,0.00,-0.0012
3/2/17,PRTA,7,2,14,0.001391,0.227365,-0.325992,0.221172,0.84993,0.15525,0.072092,-0.042783,8.70,0.00,1.00,-0.030782
3/2/17,REG,9,4,5,-0.000583,0.227365,-0.325992,0.221172,0.84993,0.192164,0.026742,-0.007233,1.22,1.00,0.00,-0.012385
3/2/17,ARES,6,2,74,-0.01,0.227365,-0.325992,0.221172,0.84993,0.15,0.035446,-0.090909,154.74,1.00,0.00,0.0025
3/2/17,AXTI,10,2,51,0.038462,0.227365,-0.325992,0.221172,0.84993,0.034499998,0.122597,-0.133333,8.17,0.00,0.00,-0.007693
3/2/17,BHR,9,2,71,-0.016461,0.227365,-0.325992,0.221172,0.84993,0.0698625,0.180951,-0.05814,42.00,0.00,0.00,-0.083951
3/2/17,KTOS,8,2,13,0.044138,0.227365,-0.325992,0.221172,0.84993,0.086293125,0.121932,-0.097136,7.24,0.00,0.00,-0.02069
3/6/17,FRC,6,3,10,0.009053,-0.062881,-0.401788,0.217345,0.782513,0.273125,0.015912,-0.020215,2.61,0.00,0.00,-0.007579
3/6/17,HASI,9,3,10,-0.010336,-0.062881,-0.401788,0.217345,0.782513,0.0667575,0.058623,-0.029102,11.52,0.00,0.00,0.009819
3/6/17,STAY,3,3,23,-0.00178,-0.062881,-0.401788,0.217345,0.782513,0.42125,0.128331,-0.02432,20.77,1.00,0.00,0.005341
3/7/17,AFI,8,4,5,-0.02809,-0.002919,-0.185468,0.028351,0.800139,0.05162,0.103832,-0.053191,24.26,1.00,0.00,-0.033146
3/7/17,AWI,8,4,25,-0.02784,-0.002919,-0.185468,0.028351,0.800139,0.2357699,0.09753,-0.021786,10.43,1.00,0.00,0.033408
3/7/17,FNGN,6,3,48,0.012401,-0.002919,-0.185468,0.028351,0.800139,0.182239827,0.066039,-0.022051,11.36,1.00,0.00,-0.048478
3/7/17,FOXF,3,3,10,0.009259,-0.002919,-0.185468,0.028351,0.800139,0.150508125,0.137291,-0.049296,26.60,1.00,0.00,-0.022222
3/7/17,GEO,9,2,35,-0.000958,-0.002919,-0.185468,0.028351,0.800139,0.288075,0.073829,-0.065368,7.04,0.00,0.00,0.032814
3/7/17,LADR,9,3,71,0.001404,-0.002919,-0.185468,0.028351,0.800139,0.04275,0.027093,-0.044266,6.35,1.00,0.00,0.006315
3/7/17,LAND,9,2,36,-0.010573,-0.002919,-0.185468,0.028351,0.800139,0.020722251,0.14353,-0.034043,41.55,0.00,0.00,-0.020264
3/7/17,JBT,8,1,10,0.015882,-0.002919,-0.185468,0.028351,0.800139,0.1955,0.064191,-0.008168,10.31,0.00,0.00,0.041765
3/7/17,COTV,10,1,23,0.020278,-0.002919,-0.185468,0.028351,0.800139,0.348588,0.092791,-0.044332,30.47,1.00,0.00,-0.010556
3/8/17,PLNT,3,3,35,-0.013171,-0.144403,-0.310617,0.007442,0.646749,0.3075,0.152286,-0.024274,15.15,1.00,0.00,0.000976
3/8/17,TGTX,7,2,37,0.082051,-0.144403,-0.310617,0.007442,0.646749,0.057500001,0.08568,-0.039409,1.95,0.00,1.00,0.128205
3/8/17,EQIX,9,1,35,0.011111,-0.144403,-0.310617,0.007442,0.646749,2.18499984,0.068823,-0.009438,10.61,0.00,0.00,0.033361
3/8/17,HIIQ,7,2,13,0.092857,-0.144403,-0.310617,0.007442,0.646749,0.042,0.190399,-0.193084,10.09,1.00,0.00,0.025
3/8/17,PATK,3,1,10,0.034247,-0.144403,-0.310617,0.007442,0.646749,0.09855,0.080552,-0.029255,11.89,0.00,0.00,-0.030822
3/9/17,ARE,9,2,35,-0.006264,0.012317,-0.133897,0.252175,1.000564,0.74411025,0.064228,-0.045295,8.88,0.00,0.00,0.008659
3/9/17,OOMA,2,2,23,0.016949,0.012317,-0.133897,0.252175,1.000564,0.029120775,0.158526,-0.016667,25.27,1.00,0.00,0.00565
3/9/17,BCRX,7,1,35,0.061176,0.012317,-0.133897,0.252175,1.000564,0.051519478,0.066749,-0.02746,1.96,0.00,1.00,-0.01647
3/9/17,SBGI,2,1,74,-0.004762,0.012317,-0.133897,0.252175,1.000564,0.504,0.156217,-0.020979,9.71,0.00,0.00,-0.013095
3/10/17,FCFS,6,4,37,0.004651,-0.04419,-0.168546,0.391575,0.987559,0.03182,0.015324,-0.021615,3.18,1.00,0.00,0.006977
3/10/17,MEET,2,2,13,0.05,-0.04419,-0.168546,0.391575,0.987559,0.046,0.1195,-0.139415,3.74,0.00,0.00,-0.038
3/13/17,AUPH,7,2,66,0.18963,0.097658,-0.184558,0.410685,1.041857,0.17310375,0.296905,-0.359583,1.92,0.00,1.00,-0.01926
3/13/17,BHC,7,4,37,-0.02973,0.097658,-0.184558,0.410685,1.041857,0.302302195,0.078296,-0.083402,1.18,1.00,0.00,0.010811
3/13/17,BMCH,8,3,31,-0.007059,0.097658,-0.184558,0.410685,1.041857,0.120703506,0.08519,-0.031891,12.30,1.00,0.00,0.011765
3/13/17,DOC,9,2,48,0.001099,0.097658,-0.184558,0.410685,1.041857,0.31395,0.097022,-0.036017,18.31,0.00,0.00,0.010439
3/13/17,LNTH,7,3,23,-0.012,0.097658,-0.184558,0.410685,1.041857,0.0375,0.081433,-0.11032,7.54,1.00,0.00,-0.002
3/14/17,ANTH,7,2,58,-0.11,0.101832,-0.141401,0.592981,1.344289,0.015,0.37341,-0.275362,15.70,0.00,0.00,-0.0612
3/15/17,ACHC,7,4,37,0.010539,0.060996,-0.1277,0.057966,1.269215,0.126289199,0.034549,-0.008549,2.31,1.00,0.00,-0.004551
3/15/17,IPI,1,2,14,0.083333,0.060996,-0.1277,0.057966,1.269215,0.0600875,0.354502,-0.15493,23.87,0.00,0.00,0.083334
3/15/17,TLND,10,1,31,0.052982,0.060996,-0.1277,0.057966,1.269215,0.107818664,0.115196,-0.009385,35.19,1.00,0.00,-0.023508
3/16/17,VRTV,8,2,48,-0.024613,-0.040449,-0.120573,0.208252,1.404678,0.09873,0.114741,-0.067969,37.84,1.00,0.00,-0.020054
3/16/17,EDIT,7,1,48,0.013333,-0.040449,-0.120573,0.208252,1.404678,0.1035,0.09837,-0.096748,3.04,0.00,1.00,-0.022222
3/16/17,PEN,7,1,35,0.048684,-0.040449,-0.120573,0.208252,1.404678,0.11362,0.039325,-0.019987,4.94,0.00,0.00,0.036184
3/16/17,TSLA,3,1,31,0.007634,-0.040449,-0.120573,0.208252,1.404678,0.402499858,0.008201,-0.000191,0.22,0.00,0.00,-0.009542
3/16/17,VIVE,7,1,21,0.1125,-0.040449,-0.120573,0.208252,1.404678,0.0345,0.412074,-0.058824,155.28,0.00,0.00,0.2
3/17/17,TPH,3,3,17,0.007004,0.159173,0.097126,0.526528,1.746582,0.154018879,0.075356,-0.03456,5.56,1.00,0.00,-0.016343
3/17/17,MOFG,6,2,39,0.018686,0.159173,0.097126,0.526528,1.746582,0.0941875,0.209038,-0.068027,170.43,0.80,0.00,-0.007299
3/17/17,RYN,9,2,48,0.008288,0.159173,0.097126,0.526528,1.746582,0.1595625,0.03906,-0.038795,11.98,0.00,0.00,-0.006126
3/17/17,ISTR,6,1,59,0.023529,0.159173,0.097126,0.526528,1.746582,0.034500013,0.164541,-0.020737,164.00,0.00,0.00,0
3/17/17,ZSAN,7,1,56,0.046667,0.159173,0.097126,0.526528,1.746582,0.029325,0.502721,-0.127907,2.08,0.00,1.00,-0.013334
3/20/17,GEL,5,3,74,0.026129,0.147094,0.082583,0.433905,1.424158,0.1426,0.032803,-0.056604,8.43,0.00,0.00,0.006452
3/21/17,DEA,9,2,37,0.024742,0.141791,0.195162,0.637686,1.346942,0.093955,0.116611,-0.036999,28.15,0.00,0.00,0.001574
3/21/17,RGNX,7,2,48,0,0.141791,0.195162,0.637686,1.346942,0.0872275,0.122611,-0.072398,18.10,0.00,1.00,-0.002439
